1981 01 114.0
1981 02 141.3
1981 03 135.5
1981 04 156.4
1981 05 127.5
1981 06  90.9
1981 07 143.8
1981 08 158.7
1981 09 167.3
1981 10 162.4
1981 11 137.5
1981 12 150.1
1982 01 111.2
1982 02 163.6
1982 03 153.8
1982 04 122.0
1982 05  82.2
1982 06 110.4
1982 07 106.1
1982 08 107.6
1982 09 118.8
1982 10  94.7
1982 11  98.1
1982 12 127.0
1983 01  84.3
1983 02  51.0
1983 03  66.5
1983 04  80.7
1983 05  99.2
1983 06  91.1
1983 07  82.2
1983 08  71.8
1983 09  50.3
1983 10  55.8
1983 11  33.3
1983 12  33.4
1984 01  57.0
1984 02  85.4
1984 03  83.5
1984 04  69.7
1984 05  76.4
1984 06  46.1
1984 07  37.4
1984 08  25.5
1984 09  15.7
1984 10  12.0
1984 11  22.8
1984 12  18.7
1985 01  16.5
1985 02  15.9
1985 03  17.2
1985 04  16.2
1985 05  27.5
1985 06  24.2
1985 07  30.7
1985 08  11.1
1985 09   3.9
1985 10  18.6
1985 11  16.2
1985 12  17.3
1986 01   2.5
1986 02  23.2
1986 03  15.1
1986 04  18.5
1986 05  13.7
1986 06   1.1
1986 07  18.1
1986 08   7.4
1986 09   3.8
1986 10  35.4
1986 11  15.2
1986 12   6.8
1987 01  10.4
1987 02   2.4
1987 03  14.7
1987 04  39.6
1987 05  33.0
1987 06  17.4
1987 07  33.0
1987 08  38.7
1987 09  33.9
1987 10  60.6
1987 11  39.9
1987 12  27.1
1988 01  59.0
1988 02  40.0
1988 03  76.2
1988 04  88.0
1988 05  60.1
1988 06 101.8
1988 07 113.8
1988 08 111.6
1988 09 120.1
1988 10 125.1
1988 11 125.1
1988 12 179.2
1989 01 161.3
1989 02 165.1
1989 03 131.4
1989 04 130.6
1989 05 138.5
1989 06 196.2
1989 07 126.9
1989 08 168.9
1989 09 176.7
1989 10 159.4
1989 11 173.0
1989 12 165.5
1990 01 177.3
1990 02 130.5
1990 03 140.3
1990 04 140.3
1990 05 132.2
1990 06 105.4
1990 07 149.4
1990 08 200.3
1990 09 125.2
1990 10 145.5
1990 11 131.4
1990 12 129.7
1991 01 136.9
1991 02 167.5
1991 03 141.9
1991 04 140.0
1991 05 121.3
1991 06 169.7
1991 07 173.7
1991 08 176.3
1991 09 125.3
1991 10 144.1
1991 11 108.2
1991 12 144.4
1992 01 150.0
1992 02 161.1
1992 03 106.7
1992 04  99.8
1992 05  73.8
1992 06  65.2
1992 07  85.7
1992 08  64.5
1992 09  63.9
1992 10  88.7
1992 11  91.8
1992 12  82.6
1993 01  59.3
1993 02  91.0
1993 03  69.8
1993 04  62.2
1993 05  61.3
1993 06  49.8
1993 07  57.9
1993 08  42.2
1993 09  22.4
1993 10  56.4
1993 11  35.6
1993 12  48.9
1994 01  57.8
1994 02  35.5
1994 03  31.7
1994 04  16.1
1994 05  17.8
1994 06  28.0
1994 07  35.1
1994 08  22.5
1994 09  25.7
1994 10  44.0
1994 11  18.0
1994 12  26.2
1995 01  24.2
1995 02  29.9
1995 03  31.1
1995 04  14.0
1995 05  14.5
1995 06  15.6
1995 07  14.5
1995 08  14.3
1995 09  11.8
1995 10  21.1
1995 11   9.0
1995 12  10.0
1996 01  11.5
1996 02   4.4
1996 03   9.2
1996 04   4.8
1996 05   5.5
1996 06  11.8
1996 07   8.2
1996 08  14.4
1996 09   1.6
1996 10   0.9
1996 11  17.9
1996 12  13.3
1997 01   5.7
1997 02   7.6
1997 03   8.7
1997 04  15.5
1997 05  18.5
1997 06  12.7
1997 07  10.4
1997 08  24.4
1997 09  51.3
1997 10  23.8
1997 11  39.0
1997 12  41.2
1998 01  31.9
1998 02  40.3
1998 03  54.8
1998 04  53.4
1998 05  56.3
1998 06  70.7
1998 07  66.6
1998 08  92.2
1998 09  92.9
1998 10  55.5
1998 11  74.0
1998 12  81.9
1999 01  62.0
1999 02  66.3
1999 03  68.8
1999 04  63.7
1999 05 106.4
1999 06 137.7
1999 07 113.5
1999 08  93.7
1999 09  71.5
1999 10 116.7
1999 11 133.2
1999 12  84.6
2000 01  90.1
2000 02 112.9
2000 03 138.5
2000 04 125.5
2000 05 121.6
2000 06 124.9
2000 07 170.1
2000 08 130.5
2000 09 109.7
2000 10  99.4
2000 11 106.8
2000 12 104.4
2001 01  95.6
2001 02  80.6
2001 03 113.5
2001 04 107.7
2001 05  96.6
2001 06 134.0
2001 07  81.8
2001 08 106.4
2001 09 150.7
2001 10 125.5
2001 11 106.5
2001 12 132.2
2002 01 114.1
2002 02 107.4
2002 03  98.4
2002 04 120.7
2002 05 120.8
2002 06  88.3
2002 07  99.6
2002 08 116.4
2002 09 109.6
2002 10  97.5
2002 11  95.5
2002 12  80.8
2003 01  79.7
2003 02  46.0
2003 03  61.1
2003 04  60.0
2003 05  54.6
2003 06  77.4
2003 07  83.3
2003 08  72.7
2003 09  48.7
2003 10  65.5
2003 11  67.3
2003 12  46.5
2004 01  37.3
2004 02  45.8
2004 03  49.1
2004 04  39.3
2004 05  41.5
2004 06  43.2
2004 07  51.1
2004 08  40.9
2004 09  27.7
2004 10  48.0
2004 11  43.5
2004 12  17.9
2005 01  31.3
2005 02  29.2
2005 03  24.5
2005 04  24.2
2005 05  42.7
2005 06  39.3
2005 07  40.1
2005 08  36.4
2005 09  21.9
2005 10   8.7
2005 11  18.0
2005 12  41.1
2006 01  15.3
2006 02   4.9
2006 03  10.6
2006 04  30.2
2006 05  22.3
2006 06  13.9
2006 07  12.2
2006 08  12.9
2006 09  14.4
2006 10  10.5
2006 11  21.4
2006 12  13.6
2007 01  16.8
2007 02  10.7
2007 03   4.5
2007 04   3.4
2007 05  11.7
2007 06  12.1
2007 07   9.7
2007 08   6.0
2007 09   2.4
2007 10   0.9
2007 11   1.7
2007 12  10.1
2008 01   3.3
2008 02   2.1
2008 03   9.3
2008 04   2.9
2008 05   3.2
2008 06   3.4
2008 07   0.8
2008 08   0.5
2008 09   1.1
2008 10   2.9
2008 11   4.1
2008 12   0.8
2009 01   1.3
2009 02   1.4
2009 03   0.7
2009 04   0.8
2009 05   2.9
2009 06   2.9
2009 07   3.2
2009 08   0.0
2009 09   4.3
2009 10   4.8
2009 11   4.1
2009 12  10.8
2010 01  13.2
