1981  3 135.5
1981  6  90.9
1981  7 143.8
1981 12 150.1
1982  1 111.2
1982  3 153.8
1982  7 106.1
1982  8 107.6
1982 10  94.7
1983  2  51.0
1983  7  82.2
1983 11  33.3
1984  2  85.4
1984  8  25.5
1985  2  15.9
1985  5  27.5
1985 10  18.6
1985 11  16.2
1985 12  17.3
1986  4  18.5
1986  8   7.4
1986 10  35.4
1986 11  15.2
1986 12   6.8
1987  1  10.4
1987  6  17.4
1988 11 125.1
1988 12 179.2
1989  2 165.1
1989  3 131.4
1989  5 138.5
1989  9 176.7
1989 12 165.5
1990  4 140.3
1990  5 132.2
1990  8 200.3
1990  9 125.2
1991  3 141.9
1991  5 121.3
1991  8 176.3
1991  9 125.3
1992  1 150.0
1992  2 161.1
1992  4  99.8
1992 10  88.7
1993  8  42.2
1993 11  35.6
1993 12  48.9
1994  3  31.7
1994  5  17.8
1994  7  35.1
1994  8  22.5
1994 12  26.2
1995  1  24.2
1995  2  29.9
1995 11   9.0
1996  7   8.2
1996  8  14.4
1996  9   1.6
1997  1   5.7
1997  2   7.6
1997  4  15.5
1997  6  12.7
1998  4  53.4
1998  5  56.3
1998  6  70.7
1998 10  55.5
1999  2  66.3
1999  4  63.7
1999  8  93.7
1999  9  71.5
1999 11 133.2
2000  3 138.5
2000  4 125.5
2000  5 121.6
2000  8 130.5
2000  9 109.7
2000 10  99.4
2000 12 104.4
2001  3 113.5
2001  6 134.0
2001  7  81.8
2001  9 150.7
2001 10 125.5
2001 12 132.2
2002  2 107.4
2002  3  98.4
2002  4 120.7
2002  5 120.8
2002  9 109.6
2002 11  95.5
2002 12  80.8
2003  1  79.7
2003  4  60.0
2003  7  83.3
2003  8  72.7
2003 10  65.5
2003 12  46.5
2004  1  37.3
2004  3  49.1
2004  4  39.3
2004  9  27.7
2004 10  48.0
2004 11  43.5
2005  1  31.3
2005  2  29.2
2005  3  24.5
2005  4  24.2
2005  5  42.7
2005  9  21.9
2005 10   8.7
2006  3  10.6
2006  5  22.3
2006  9  14.4
2006 10  10.5
2006 12  13.6
2007  2  10.7
2007  5  11.7
2007  7   9.7
2007 10   0.9
2007 11   1.7
2008  1   3.3
2008  7   0.8
2008  8   0.5
2009  1   1.3
2009  3   0.7
2009  8   0.0
2009  9   4.3
2010  3  15.4
2010  4   8.0
2010 12  14.4
